"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Ugin, Eye of the Storms","","M","901","1.00","863","1.00","5412","97.7%","61.0%","899","65.6%","1481","73.1%","2380","70.3%","2975","53.2%","17.0pp"
"Anafenza, Unyielding Lineage","W","R","2027","1.16","1080","1.16","6123","91.7%","56.5%","1118","58.9%","1351","56.0%","2469","57.3%","3632","55.8%","1.5pp"
"Arashin Sunshield","W","C","70243","8.38","10100","11.56","6896","10.8%","55.7%","1098","52.1%","1565","55.1%","2663","53.8%","4228","56.9%","-3.0pp"
"Bearer of Glory","W","C","65124","5.94","14586","7.49","75414","83.1%","57.9%","13564","57.2%","15823","55.9%","29387","56.5%","46010","58.8%","-2.3pp"
"Clarion Conqueror","W","R","2193","1.21","861","1.23","4579","87.7%","56.5%","820","59.6%","1054","58.4%","1874","59.0%","2695","54.8%","4.2pp"
"Coordinated Maneuver","W","C","54628","4.55","7860","6.44","38946","80.3%","58.4%","6533","57.4%","8561","58.4%","15094","57.9%","23872","58.7%","-0.7pp"
"Dalkovan Packbeasts","W","U","15597","3.15","5291","3.52","30560","93.0%","57.9%","5354","59.0%","6632","57.0%","11986","57.9%","18585","57.9%","-0.0pp"
"Descendant of Storms","W","U","14272","2.86","3906","3.33","23358","93.4%","59.6%","4246","64.9%","4838","57.6%","9084","61.0%","14253","58.6%","2.4pp"
"Dragonback Lancer","W","C","58414","5.08","4409","7.98","13877","51.2%","54.9%","2401","51.8%","2940","52.7%","5341","52.3%","8539","56.6%","-4.3pp"
"Duty Beyond Death","W","U","19210","3.91","3845","4.70","20502","85.0%","58.8%","3252","57.4%","4387","58.7%","7639","58.1%","12870","59.2%","-1.0pp"
"Elspeth, Storm Slayer","W","M","926","1.01","863","1.01","5277","95.6%","60.9%","900","66.9%","1339","66.2%","2239","66.5%","3013","56.9%","9.5pp"
"Fortress Kin-Guard","W","C","58346","4.95","11508","6.39","63810","88.0%","59.4%","11640","61.7%","13285","57.7%","24925","59.6%","38838","59.3%","0.2pp"
"Furious Forebear","W","U","17228","3.49","2778","4.43","15383","88.9%","57.2%","2739","58.2%","3254","53.2%","5993","55.5%","9389","58.3%","-2.8pp"
"Lightfoot Technique","W","C","64715","6.20","5265","9.70","10299","31.3%","57.3%","1687","54.9%","2139","55.3%","3826","55.1%","6481","58.5%","-3.4pp"
"Loxodon Battle Priest","W","U","17544","3.52","1448","4.79","5629","65.3%","53.1%","940","53.9%","1285","54.6%","2225","54.3%","3397","52.3%","2.0pp"
