"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Air Response Unit","W","U","120134","5.53","12995","8.23","36671","47.5%","52.0%","6292","51.0%","8823","51.1%","15115","51.1%","21453","52.7%","-1.6pp"
"Alacrian Armory","W","U","124263","6.15","11800","9.65","15905","23.0%","49.0%","2773","45.4%","3758","47.3%","6531","46.5%","9170","50.5%","-4.1pp"
"Basri, Tomorrow's Champion","W","R","24234","2.51","7801","2.73","37848","80.4%","55.1%","6694","61.9%","9179","53.9%","15873","57.3%","21510","53.2%","4.0pp"
"Brightfield Glider","W","C","348401","7.31","36861","10.72","68856","31.1%","53.5%","12403","54.7%","14910","51.0%","27313","52.7%","40370","53.7%","-1.1pp"
"Brightfield Mustang","W","C","346901","7.19","33534","10.85","55709","27.9%","51.9%","9366","50.5%","12906","49.9%","22272","50.2%","33161","53.0%","-2.8pp"
"Broadcast Rambler","W","C","324520","6.06","48519","8.38","182020","61.8%","55.1%","30312","54.2%","45759","57.3%","76071","56.1%","101575","54.1%","2.0pp"
"Bulwark Ox","W","R","21702","2.28","7212","2.45","36321","83.8%","54.6%","6721","58.0%","8529","53.4%","15250","55.4%","20831","54.0%","1.4pp"
"Canyon Vaulter","W","U","94066","4.04","15900","5.38","77398","80.7%","54.6%","13879","54.8%","18167","54.4%","32046","54.6%","45181","54.5%","0.1pp"
"Cloudspire Captain","W","U","90876","4.05","13022","5.51","58084","75.7%","52.7%","10211","51.7%","13371","51.9%","23582","51.8%","34435","53.3%","-1.6pp"
"Collision Course","W","C","302205","5.45","37704","7.93","147428","65.2%","53.8%","24746","51.9%","36480","55.3%","61226","53.9%","85753","53.7%","0.2pp"
"Daring Mechanic","W","C","346473","7.02","35935","10.43","75189","35.1%","52.6%","12891","51.2%","17279","50.8%","30170","51.0%","44927","53.7%","-2.7pp"
"Detention Chariot","W","U","82952","3.54","17134","4.54","86305","83.9%","54.4%","14719","54.2%","21532","57.1%","36251","55.9%","47746","52.9%","3.0pp"
"Gallant Strike","W","U","87725","3.69","18095","4.78","94690","85.4%","55.8%","16479","54.9%","23538","58.5%","40017","57.0%","54274","54.8%","2.2pp"
"Gloryheath Lynx","W","U","68773","2.97","19427","3.50","102401","85.6%","56.5%","18815","63.3%","24605","56.8%","43420","59.6%","58410","54.2%","5.4pp"
"Guardian Sunmare","W","R","18077","1.96","8069","1.96","41644","84.7%","55.3%","6961","58.6%","10344","58.7%","17305","58.7%","23538","52.4%","6.3pp"
"Guidelight Synergist","W","U","103776","4.64","16731","6.19","70294","70.2%","54.0%","11872","52.7%","18710","56.6%","30582","55.1%","37397","52.6%","2.5pp"
"Interface Ace","W","C","337728","6.87","34330","10.32","70203","34.5%","51.1%","12690","48.8%","17031","49.9%","29721","49.4%","40358","52.4%","-2.9pp"
"Leonin Surveyor","W","C","316604","5.96","37679","8.58","133471","59.3%","53.4%","23958","54.2%","30565","50.8%","54523","52.3%","78805","54.1%","-1.8pp"
"Lightshield Parry","W","C","364510","7.95","38312","11.60","39014","16.9%","53.1%","6766","50.4%","8800","52.0%","15566","51.3%","23431","54.2%","-2.8pp"
"Lightwheel Enhancements","W","C","359891","8.02","34854","11.99","20763","10.0%","51.3%","3406","48.2%","4810","48.9%","8216","48.6%","12047","52.6%","-3.9pp"
"Lotusguard Disciple","W","C","334858","6.52","35442","9.70","98683","46.5%","53.8%","17162","51.8%","23131","54.0%","40293","53.0%","58212","54.4%","-1.4pp"
"Nesting Bot","W","U","105732","4.61","16144","6.28","67531","69.2%","54.8%","12071","58.5%","16310","54.0%","28381","55.9%","38634","54.0%","2.0pp"
"Perilous Snare","W","R","14969","1.61","9620","1.59","54166","90.2%","57.2%","9291","59.9%","13882","63.4%","23173","62.0%","29479","52.9%","9.1pp"
"Pride of the Road","W","U","103309","4.59","13669","6.51","51933","64.0%","52.8%","8681","50.6%","12634","53.3%","21315","52.2%","30562","53.1%","-0.9pp"
"Ride's End","W","C","220126","3.80","46417","4.90","243966","86.2%","55.4%","41462","54.9%","62140","58.9%","103602","57.3%","138866","53.9%","3.4pp"
"Roadside Assistance","W","U","122901","5.74","13642","8.58","31104","38.3%","53.3%","5134","52.6%","7260","53.5%","12394","53.1%","18647","53.4%","-0.3pp"
"Salvation Engine","W","M","7799","1.73","3783","1.72","18848","84.0%","53.5%","3121","53.0%","4856","56.5%","7977","55.1%","9449","49.8%","5.3pp"
"Skyseer's Chariot","W","R","34012","3.35","6623","4.20","28113","70.8%","54.4%","5045","55.0%","6747","54.6%","11792","54.7%","16185","54.1%","0.6pp"
"Spectacular Pileup","W","R","22419","2.41","8028","2.48","38250","79.4%","54.2%","6745","53.5%","9945","57.4%","16690","55.8%","21282","52.9%","3.0pp"
"Spotcycle Scouter","W","C","351906","7.45","35817","11.03","47314","22.1%","51.9%","8501","51.8%","11152","51.0%","19653","51.3%","27563","52.4%","-1.0pp"
"Sundial, Dawn Tyrant","W","U","98663","4.17","17574","5.58","87587","82.4%","54.8%","15796","56.8%","20959","54.2%","36755","55.3%","49593","54.4%","0.8pp"
"Swiftwing Assailant","W","C","350335","7.22","36938","10.69","69201","31.3%","53.5%","11726","51.8%","16821","54.2%","28547","53.2%","40625","53.7%","-0.4pp"
"Tune Up","W","U","126454","5.93","15830","8.67","32496","34.4%","52.2%","5353","49.8%","8430","54.6%","13783","52.7%","18598","51.7%","1.0pp"
"Unswerving Sloth","W","U","103860","4.65","13753","6.60","50448","61.5%","53.2%","8231","51.7%","12035","53.8%","20266","52.9%","29733","53.2%","-0.2pp"
"Valor's Flagship","W","M","8500","1.82","3629","1.84","18040","82.3%","54.0%","3043","53.1%","4658","58.3%","7701","56.3%","9738","51.3%","5.0pp"
"Voyager Glidecar","W","R","25445","2.60","6755","2.97","32752","80.6%","54.5%","5717","57.5%","8052","55.5%","13769","56.3%","18518","52.8%","3.5pp"
"Voyager Quickwelder","W","C","319366","6.20","38802","8.88","126284","54.4%","53.9%","22158","55.0%","33135","55.3%","55293","55.2%","70326","52.8%","2.3pp"
"Aether Syphon","U","U","100245","4.57","22995","5.64","97587","70.7%","54.2%","16644","52.6%","27100","57.9%","43744","55.9%","51960","52.2%","3.6pp"
"Bounce Off","U","C","318337","5.86","58634","8.00","232495","65.5%","55.0%","39503","52.4%","64160","58.0%","103663","55.9%","126596","54.2%","1.7pp"
"Caelorna, Coral Tyrant","U","U","139473","6.71","18765","9.71","33800","29.9%","53.0%","6048","53.0%","9131","54.0%","15179","53.6%","17937","52.5%","1.0pp"
"Diversion Unit","U","U","85108","3.54","22187","4.48","118863","89.0%","54.7%","21236","55.6%","32032","56.1%","53268","55.9%","64797","53.6%","2.2pp"
"Flood the Engine","U","C","237713","4.04","59901","5.23","326212","89.6%","55.2%","55642","53.1%","90829","58.1%","146471","56.2%","175098","54.3%","1.9pp"
"Gearseeker Serpent","U","C","329466","6.37","42106","9.35","115590","46.2%","52.1%","19008","48.6%","32271","54.7%","51279","52.4%","63718","51.8%","0.6pp"
"Glitch Ghost Surveyor","U","C","351069","7.11","44501","10.39","78513","29.5%","51.6%","13672","49.9%","21193","52.1%","34865","51.2%","43244","51.8%","-0.6pp"
"Guidelight Optimizer","U","C","317961","5.82","52205","8.16","216689","69.5%","53.8%","38888","54.8%","57271","54.0%","96159","54.3%","119709","53.4%","1.0pp"
"Howler's Heavy","U","C","338583","6.44","56311","9.00","181316","53.5%","54.1%","31281","52.2%","51178","56.8%","82459","55.0%","97435","53.3%","1.7pp"
"Hulldrifter","U","C","310695","5.59","50813","7.91","191933","62.6%","54.3%","32266","52.4%","50632","57.1%","82898","55.3%","98438","52.7%","2.5pp"
"Keen Buccaneer","U","C","300087","5.27","56437","7.30","265099","78.1%","54.4%","46597","53.6%","72507","56.2%","119104","55.2%","143895","53.7%","1.5pp"
"Memory Guardian","U","U","85726","3.68","19760","4.64","99322","83.7%","54.1%","16479","53.6%","26616","58.0%","43095","56.3%","51077","51.6%","4.7pp"
"Midnight Mangler","U","C","323065","5.95","50645","8.46","185559","61.2%","53.6%","33069","53.7%","49957","54.3%","83026","54.1%","101518","53.2%","0.8pp"
"Mindspring Merfolk","U","R","23226","2.47","11564","2.52","62365","88.4%","56.1%","11095","60.1%","17135","59.2%","28230","59.5%","33382","52.9%","6.6pp"
"Mu Yanling, Wind Rider","U","M","6387","1.43","4898","1.41","28956","93.2%","58.2%","5001","65.5%","7963","65.2%","12964","65.3%","15517","51.9%","13.4pp"
"Nimble Thopterist","U","C","311089","5.55","56289","7.73","239429","70.6%","54.5%","40546","53.3%","65621","56.7%","106167","55.4%","131181","53.6%","1.8pp"
"Possession Engine","U","R","17126","1.82","10861","1.83","60788","90.9%","56.8%","10211","57.4%","15967","62.1%","26178","60.3%","29167","52.1%","8.1pp"
"Rangers' Refueler","U","U","63329","2.84","26630","3.12","148706","90.5%","56.7%","26697","59.1%","40562","59.5%","67259","59.3%","79647","54.2%","5.1pp"
"Repurposing Bay","U","R","55837","5.50","6835","8.52","2244","5.5%","48.2%","406","","616","48.7%","1022","46.7%","1191","49.3%","-2.6pp"
"Riverchurn Monument","U","R","26907","2.98","11321","2.93","57554","82.7%","56.1%","10162","56.6%","16231","62.0%","26393","60.0%","30304","52.4%","7.6pp"
"Roadside Blowout","U","U","98555","4.10","26417","5.16","132729","82.8%","55.5%","23322","53.7%","36358","58.0%","59680","56.3%","71676","54.6%","1.7pp"
"Sabotage Strategist","U","U","85144","3.65","19327","4.66","93625","81.6%","53.6%","15696","51.8%","26220","56.6%","41916","54.8%","50849","52.4%","2.5pp"
"Scrounging Skyray","U","U","91973","4.09","20839","5.03","88065","70.6%","53.8%","15891","56.7%","25857","56.2%","41748","56.4%","45619","51.3%","5.1pp"
"Skystreak Engineer","U","C","294004","5.11","55986","7.08","268914","79.6%","54.7%","48389","54.7%","73128","56.4%","121517","55.7%","145332","53.8%","2.0pp"
"Slick Imitator","U","U","124590","5.58","20141","7.81","61044","50.8%","52.3%","10883","52.4%","16725","52.2%","27608","52.3%","33136","52.1%","0.2pp"
"Spectral Interference","U","C","330636","6.27","56281","8.71","198273","58.1%","55.1%","34756","55.8%","54019","56.4%","88775","56.2%","107960","54.1%","2.1pp"
"Spell Pierce","U","U","146880","7.56","16385","11.24","7778","8.0%","49.2%","1307","47.9%","2089","50.4%","3396","49.4%","4350","49.0%","0.4pp"
"Spikeshell Harrier","U","U","63162","2.76","28471","3.08","162986","92.5%","56.8%","27403","57.7%","43430","60.4%","70833","59.4%","80916","53.6%","5.8pp"
"Stall Out","U","C","350778","7.36","40390","10.84","54394","22.9%","49.3%","9414","45.6%","15213","51.2%","24627","49.1%","29516","49.5%","-0.4pp"
"Stock Up","U","U","85103","3.79","29629","4.26","157125","86.4%","56.6%","27463","57.4%","42998","60.9%","70461","59.5%","85260","54.0%","5.6pp"
"Thopter Fabricator","U","R","17344","1.88","10278","1.86","56077","89.7%","55.3%","9827","59.4%","15985","59.8%","25812","59.6%","29438","51.3%","8.4pp"
"Trade the Helm","U","U","125446","5.70","18596","8.15","46494","42.3%","51.2%","8039","47.8%","12812","54.1%","20851","51.7%","25252","50.7%","1.0pp"
"Transit Mage","U","U","81942","3.54","27360","4.09","132913","79.4%","56.3%","23209","58.1%","36866","59.5%","60075","59.0%","71263","54.0%","5.0pp"
"Trip Up","U","C","344026","6.56","55473","9.21","171103","51.2%","54.3%","29773","51.6%","47283","56.4%","77056","54.5%","92878","54.0%","0.5pp"
"Unstoppable Plan","U","R","55500","5.72","6147","9.13","1210","3.3%","39.9%","213","","302","","515","37.9%","687","41.2%","-3.3pp"
"Vnwxt, Verbose Host","U","R","28534","2.93","7903","3.39","36333","78.0%","52.5%","6387","51.8%","10188","54.6%","16575","53.5%","19446","51.5%","2.1pp"
